Learning rate: 0.001, Batch size: 128, Sequence length: 10, Dropout: 0.1, Test loss: 7.826253425040746, Accuracy: 49.104594748858446
Learning rate: 0.001, Batch size: 128, Sequence length: 80, Dropout: 0.3, Test loss: 5.445729698453631, Accuracy: 44.97716894977169
Learning rate: 0.001, Batch size: 128, Sequence length: 80, Dropout: 0.4, Test loss: 5.342574085508074, Accuracy: 45.00570776255708
Learning rate: 0.001, Batch size: 128, Sequence length: 80, Dropout: 0.5, Test loss: 5.962503382137844, Accuracy: 45.23401826484018
Learning rate: 0.001, Batch size: 128, Sequence length: 160, Dropout: 0.1, Test loss: 3.2104362079075406, Accuracy: 49.77272727272727
Learning rate: 0.001, Batch size: 128, Sequence length: 160, Dropout: 0.2, Test loss: 4.688328538622175, Accuracy: 49.43181818181818
Learning rate: 0.001, Batch size: 128, Sequence length: 160, Dropout: 0.3, Test loss: 4.079059720039368, Accuracy: 49.77272727272727
Learning rate: 0.001, Batch size: 128, Sequence length: 160, Dropout: 0.4, Test loss: 4.489985636302403, Accuracy: 49.20454545454545
Learning rate: 0.001, Batch size: 128, Sequence length: 160, Dropout: 0.5, Test loss: 5.628719295774188, Accuracy: 33.46590909090909
Learning rate: 0.001, Batch size: 128, Sequence length: 500, Dropout: 0.1, Test loss: 2.2863622188568113, Accuracy: 57.46527777777778
Learning rate: 0.001, Batch size: 128, Sequence length: 500, Dropout: 0.2, Test loss: 3.4995028495788576, Accuracy: 47.91666666666667
Learning rate: 0.001, Batch size: 128, Sequence length: 500, Dropout: 0.3, Test loss: 1.9289832592010498, Accuracy: 67.36111111111111
Learning rate: 0.001, Batch size: 128, Sequence length: 500, Dropout: 0.4, Test loss: 3.7853760719299316, Accuracy: 49.30555555555556
Learning rate: 0.001, Batch size: 128, Sequence length: 500, Dropout: 0.5, Test loss: 3.818918228149414, Accuracy: 47.74305555555556
Learning rate: 0.001, Batch size: 256, Sequence length: 10, Dropout: 0.1, Test loss: 6.3930662588639695, Accuracy: 46.20433789954338
Learning rate: 0.001, Batch size: 256, Sequence length: 10, Dropout: 0.2, Test loss: 6.712624151056463, Accuracy: 44.36358447488584
Learning rate: 0.001, Batch size: 256, Sequence length: 10, Dropout: 0.3, Test loss: 5.789806873148138, Accuracy: 50.0
Learning rate: 0.001, Batch size: 256, Sequence length: 10, Dropout: 0.4, Test loss: 6.819218137047508, Accuracy: 48.084332191780824
Learning rate: 0.001, Batch size: 256, Sequence length: 10, Dropout: 0.5, Test loss: 7.097162424434315, Accuracy: 50.0
Learning rate: 0.001, Batch size: 256, Sequence length: 20, Dropout: 0.1, Test loss: 5.865335724570534, Accuracy: 41.87357305936073
Learning rate: 0.001, Batch size: 256, Sequence length: 20, Dropout: 0.2, Test loss: 6.66722282929854, Accuracy: 40.95319634703196
Learning rate: 0.001, Batch size: 256, Sequence length: 20, Dropout: 0.3, Test loss: 5.9969456239180134, Accuracy: 46.832191780821915
Learning rate: 0.001, Batch size: 256, Sequence length: 20, Dropout: 0.4, Test loss: 6.196667324412953, Accuracy: 44.484874429223744
Learning rate: 0.001, Batch size: 256, Sequence length: 20, Dropout: 0.5, Test loss: 6.321475453810258, Accuracy: 40.589326484018265
Learning rate: 0.001, Batch size: 256, Sequence length: 40, Dropout: 0.1, Test loss: 5.9295341457639426, Accuracy: 48.18778538812785
Learning rate: 0.001, Batch size: 256, Sequence length: 40, Dropout: 0.2, Test loss: 6.093206099101475, Accuracy: 42.13755707762557
Learning rate: 0.001, Batch size: 256, Sequence length: 40, Dropout: 0.3, Test loss: 5.512461117335728, Accuracy: 46.675228310502284
Learning rate: 0.001, Batch size: 256, Sequence length: 40, Dropout: 0.4, Test loss: 6.188694783619472, Accuracy: 38.67009132420091
Learning rate: 0.001, Batch size: 256, Sequence length: 40, Dropout: 0.5, Test loss: 3.5826275093214854, Accuracy: 43.77853881278539
Learning rate: 0.001, Batch size: 256, Sequence length: 80, Dropout: 0.1, Test loss: 5.569147791181292, Accuracy: 34.27511415525114
Learning rate: 0.001, Batch size: 256, Sequence length: 80, Dropout: 0.2, Test loss: 4.5846116202218195, Accuracy: 49.172374429223744
Learning rate: 0.001, Batch size: 256, Sequence length: 80, Dropout: 0.3, Test loss: 7.068469251905169, Accuracy: 26.94063926940639
Learning rate: 0.001, Batch size: 256, Sequence length: 80, Dropout: 0.4, Test loss: 4.944296087537493, Accuracy: 47.00342465753425
Learning rate: 0.001, Batch size: 256, Sequence length: 80, Dropout: 0.5, Test loss: 4.803260258265904, Accuracy: 49.37214611872146
Learning rate: 0.001, Batch size: 256, Sequence length: 160, Dropout: 0.1, Test loss: 4.081355469567435, Accuracy: 48.92045454545455
Learning rate: 0.001, Batch size: 256, Sequence length: 160, Dropout: 0.2, Test loss: 4.386555262974331, Accuracy: 46.70454545454545
Learning rate: 0.001, Batch size: 256, Sequence length: 160, Dropout: 0.3, Test loss: 3.8581662518637523, Accuracy: 49.60227272727273
Learning rate: 0.001, Batch size: 256, Sequence length: 160, Dropout: 0.4, Test loss: 4.203607899802072, Accuracy: 48.06818181818181
Learning rate: 0.001, Batch size: 256, Sequence length: 160, Dropout: 0.5, Test loss: 4.564029489244733, Accuracy: 43.01136363636363
Learning rate: 0.001, Batch size: 256, Sequence length: 500, Dropout: 0.1, Test loss: 2.8600456714630127, Accuracy: 49.30555555555556
Learning rate: 0.001, Batch size: 256, Sequence length: 500, Dropout: 0.2, Test loss: 3.7990976174672446, Accuracy: 48.09027777777778
Learning rate: 0.001, Batch size: 256, Sequence length: 500, Dropout: 0.3, Test loss: 3.5057853062947593, Accuracy: 49.30555555555556
Learning rate: 0.001, Batch size: 256, Sequence length: 500, Dropout: 0.4, Test loss: 4.040339231491089, Accuracy: 45.65972222222222
Learning rate: 0.001, Batch size: 256, Sequence length: 500, Dropout: 0.5, Test loss: 3.4362777868906655, Accuracy: 48.61111111111111
Learning rate: 0.001, Batch size: 500, Sequence length: 10, Dropout: 0.1, Test loss: 5.332197490491365, Accuracy: 49.86087328767123
Learning rate: 0.001, Batch size: 500, Sequence length: 10, Dropout: 0.2, Test loss: 5.7882961557622545, Accuracy: 46.22574200913242
Learning rate: 0.001, Batch size: 500, Sequence length: 10, Dropout: 0.3, Test loss: 5.385845544045432, Accuracy: 45.72631278538813
Learning rate: 0.001, Batch size: 500, Sequence length: 10, Dropout: 0.4, Test loss: 5.888950657426265, Accuracy: 45.64069634703196
Learning rate: 0.001, Batch size: 500, Sequence length: 10, Dropout: 0.5, Test loss: 8.285224630121599, Accuracy: 25.0
Learning rate: 0.001, Batch size: 500, Sequence length: 20, Dropout: 0.1, Test loss: 5.328518226228911, Accuracy: 44.27796803652968
Learning rate: 0.001, Batch size: 500, Sequence length: 20, Dropout: 0.2, Test loss: 4.909439884383103, Accuracy: 49.92865296803653
Learning rate: 0.001, Batch size: 500, Sequence length: 20, Dropout: 0.3, Test loss: 5.588545174434267, Accuracy: 48.865582191780824
Learning rate: 0.001, Batch size: 500, Sequence length: 20, Dropout: 0.4, Test loss: 6.2144163394796434, Accuracy: 41.40981735159817
Learning rate: 0.001, Batch size: 500, Sequence length: 20, Dropout: 0.5, Test loss: 5.729240253053862, Accuracy: 47.76683789954338
Learning rate: 0.001, Batch size: 500, Sequence length: 40, Dropout: 0.1, Test loss: 4.773119608561198, Accuracy: 50.0
Learning rate: 0.001, Batch size: 500, Sequence length: 40, Dropout: 0.2, Test loss: 5.09480832417806, Accuracy: 50.0
Learning rate: 0.001, Batch size: 500, Sequence length: 40, Dropout: 0.3, Test loss: 5.33704023361206, Accuracy: 49.54337899543379
Learning rate: 0.001, Batch size: 500, Sequence length: 40, Dropout: 0.4, Test loss: 5.8338730494181315, Accuracy: 25.15696347031963
Learning rate: 0.001, Batch size: 500, Sequence length: 40, Dropout: 0.5, Test loss: 4.80439395904541, Accuracy: 47.631278538812786
Learning rate: 0.001, Batch size: 500, Sequence length: 80, Dropout: 0.1, Test loss: 4.772997260093689, Accuracy: 29.96575342465753
Learning rate: 0.001, Batch size: 500, Sequence length: 80, Dropout: 0.2, Test loss: 4.833184838294983, Accuracy: 46.09018264840183
Learning rate: 0.001, Batch size: 500, Sequence length: 80, Dropout: 0.3, Test loss: 4.4044272899627686, Accuracy: 45.976027397260275
Learning rate: 0.001, Batch size: 500, Sequence length: 80, Dropout: 0.4, Test loss: 4.528081178665161, Accuracy: 49.42922374429224
Learning rate: 0.001, Batch size: 500, Sequence length: 80, Dropout: 0.5, Test loss: 3.677347441720485, Accuracy: 50.0
Learning rate: 0.001, Batch size: 500, Sequence length: 160, Dropout: 0.1, Test loss: 3.8528515100479126, Accuracy: 33.63636363636363
Learning rate: 0.001, Batch size: 500, Sequence length: 160, Dropout: 0.2, Test loss: 5.338011860847473, Accuracy: 30.28409090909091
Learning rate: 0.001, Batch size: 500, Sequence length: 160, Dropout: 0.3, Test loss: 3.954943060874939, Accuracy: 46.875
Learning rate: 0.001, Batch size: 500, Sequence length: 160, Dropout: 0.4, Test loss: 4.205434560775757, Accuracy: 42.95454545454545
Learning rate: 0.001, Batch size: 500, Sequence length: 160, Dropout: 0.5, Test loss: 3.6151033639907837, Accuracy: 45.96590909090909
